Auction,Version,Publication_Date,Project_Name,Developer,Technology_Type,Capacity_MW,Strike_Price_GBP_Per_MWh,Delivery_Year,Homes_Powered,Region
AR1,Final,2015-02-26,BHEG Walsall,BH EnergyGap (Walsall) Ltd,Advanced Conversion Technology (with or without CHP),26.00,114.390,2018,,
AR1,Final,2015-02-26,Energy Works (Hull),Energy Works (Hull) Limited,Advanced Conversion Technology (with or without CHP),25.00,119.890,2017,,
AR1,Final,2015-02-26,Enviroparks Hirwaun Generation Site,Enviroparks Operations Ltd,Advanced Conversion Technology (with or without CHP),11.00,119.890,2017,,
AR1,Final,2015-02-26,Wren Power and Pulp,Gent Fairhead & Co. Ltd,Energy from Waste with CHP,49.75,80.000,2018,,
AR1,Final,2015-02-26,K3 CHP Facility,K3CHP Ltd,Energy from Waste with CHP,45.00,80.000,2018,,
AR1,Final,2015-02-26,EA 1,Scottishpower Renewables (UK) Limited,Offshore Wind,714.00,119.890,2017,,
AR1,Final,2015-02-26,Neart na Gaoithe,Neart na Gaoithe Offshore Wind Limited,Offshore Wind,448.00,114.390,2018,,
AR1,Final,2015-02-26,Dorenell Wind Farm,Dorenell Limited,Onshore Wind (>5 MW),177.00,82.500,2018,,
AR1,Final,2015-02-26,Kype Muir Wind Farm,Banks Renewables (Kype Muir Wind Farm) Limited,Onshore Wind (>5 MW),104.00,82.500,2018,,
AR1,Final,2015-02-26,Clocaenog Forest Wind Farm,RWE Innogy UK Limited,Onshore Wind (>5 MW),96.00,82.500,2018,,
AR1,Final,2015-02-26,Middle Muir Wind Farm,Banks Renewables (Middle Muir Wind Farm) Limited,Onshore Wind (>5 MW),60.00,82.500,2018,,
AR1,Final,2015-02-26,Brenig Wind Farm - Brenig Wind,Brenig Wind Limited,Onshore Wind (>5 MW),45.00,79.230,2016,,
AR1,Final,2015-02-26,Mynydd Y Gwair Wind Farm,RWE Innogy UK Limited,Onshore Wind (>5 MW),40.00,79.990,2017,,
